Event_Name,Landfall_Year,Num_Advisories,FC_Overall_Triggered,OBS_Threshold_Met,Classification_Overall,OBS_Max_Wind_kmh,OBS_Max_Wind_Timestamp,OBS_Landfall_Date,FC_Overall_Lead_Hours,FC_Readiness_Triggered,FC_Readiness_Adv_Time,FC_Readiness_Lead_Hours,FC_Readiness_Max_Wind_kmh,OBS_Readiness_Triggered,OBS_Readiness_Max_Wind_kmh,OBS_Readiness_Max_Wind_Timestamp,Readiness_Coast_Dist_km,Classification_Readiness,FC_Readiness_Detail,FC_Action_Triggered,FC_Action_Adv_Time,FC_Action_Lead_Hours,FC_Action_Max_Wind_kmh,OBS_Action_Triggered,OBS_Action_Max_Wind_kmh,OBS_Action_Max_Wind_Timestamp,Action_Coast_Dist_km,Classification_Action,FC_Action_Detail,Notes
BATSIRAI,2022,118,Yes,Yes,True Positive (TP),166.7,2022-02-05 12:00,2022-02-05 15:00,116.7,Yes,2022-01-31 18:17,116.7,175.9,Yes,203.7,2022-02-02 12:00,,True Positive (TP),"wind_s=175.9, wind_e=166.7, max=175.9, hr_Start=108h, hr_End=120h, adv_time=2022-01-31T18:17:17Z, seg_time=2022-02-05 06:17, file=BATSIRAI_20220131_181717_track_line.shp",Yes,2022-02-02 17:57,69,185.2,Yes,200.5,2022-02-02 15:00,76.4,True Positive (TP),"wind_s=185.2, wind_e=185.2, max=185.2, hr_Start=48h, hr_End=60h, adv_time=2022-02-02T17:57:20Z, seg_time=2022-02-04 17:57, file=BATSIRAI_20220202_175720_track_line.shp",
BELNA,2019,75,Yes,No,False Positive (FP),163,2019-12-09 15:00,2019-12-09 15:00,93,Yes,2019-12-05 17:59,93,166.7,No,102.7,2019-12-06 15:00,,False Positive (FP),"wind_s=157.4, wind_e=166.7, max=166.7, hr_Start=96h, hr_End=108h, adv_time=2019-12-05T17:59:16Z, seg_time=2019-12-09 17:59, file=BELNA_20191205_175916_track_line.shp",Yes,2019-12-06 18:04,68.9,194.5,Yes,167.9,2019-12-07 15:00,32.9,True Positive (TP),"wind_s=194.5, wind_e=166.7, max=194.5, hr_Start=48h, hr_End=60h, adv_time=2019-12-06T18:04:32Z, seg_time=2019-12-08 18:04, file=BELNA_20191206_180432_track_line.shp",
BINGIZA,2011,36,Yes,No,False Positive (FP),159.7,2011-02-13 21:00,2011-02-14 03:00,38.8,No,,,,No,74.1,2011-02-10 00:00,,True Negative (TN),,Yes,2011-02-12 12:10,38.8,166.7,No,163,2011-02-13 09:00,72.3,False Positive (FP),"wind_s=148.2, wind_e=166.7, max=166.7, hr_Start=24h, hr_End=36h, adv_time=2011-02-12T12:10:00Z, seg_time=2011-02-13 12:10, file=BINGIZA_20110212_121000_track_line.shp",
EMNATI,2022,66,Yes,No,False Positive (FP),138.9,2022-02-22 12:00,2022-02-22 21:00,116.9,Yes,2022-02-18 00:04,116.9,175.9,No,151.6,2022-02-19 21:00,384.3,False Positive (FP),"wind_s=175.9, wind_e=175.9, max=175.9, hr_Start=96h, hr_End=108h, adv_time=2022-02-18T00:04:07Z, seg_time=2022-02-22 00:04, file=EMNATI_20220218_000407_track_line.shp",Yes,2022-02-19 23:37,69.4,185.2,Yes,187.4,2022-02-20 15:00,267.4,True Positive (TP),"wind_s=175.9, wind_e=185.2, max=185.2, hr_Start=48h, hr_End=60h, adv_time=2022-02-19T23:37:34Z, seg_time=2022-02-21 23:37, file=EMNATI_20220219_233734_track_line.shp",
ENAWO,2017,36,Yes,Yes,True Positive (TP),211.9,2017-03-07 03:00,2017-03-07 12:00,101.5,Yes,2017-03-03 06:28,101.5,185.2,No,97.8,2017-03-04 09:00,,False Positive (FP),"wind_s=175.9, wind_e=185.2, max=185.2, hr_Start=96h, hr_End=108h, adv_time=2017-03-03T06:28:20Z, seg_time=2017-03-07 06:28, file=ENAWO_20170303_062820_track_line.shp",Yes,2017-03-04 12:04,71.9,166.7,Yes,211.9,2017-03-07 03:00,52.3,True Positive (TP),"wind_s=148.2, wind_e=166.7, max=166.7, hr_Start=48h, hr_End=60h, adv_time=2017-03-04T12:04:32Z, seg_time=2017-03-06 12:04, file=ENAWO_20170304_120432_track_line.shp",
FREDDY,2023,129,Yes,No,False Positive (FP),154.8,2023-02-21 09:00,2023-02-21 15:00,110.5,Yes,2023-02-17 00:30,110.5,185.2,Yes,203.7,2023-02-17 00:00,101,True Positive (TP),"wind_s=185.2, wind_e=166.7, max=185.2, hr_Start=108h, hr_End=120h, adv_time=2023-02-17T00:30:09Z, seg_time=2023-02-21 12:30, file=FREDDY_20230217_003009_track_line.shp",Yes,2023-02-18 18:11,68.8,194.5,Yes,231.5,2023-02-19 18:00,54.1,True Positive (TP),"wind_s=194.5, wind_e=194.5, max=194.5, hr_Start=60h, hr_End=72h, adv_time=2023-02-18T18:11:03Z, seg_time=2023-02-21 06:11, file=FREDDY_20230218_181103_track_line.shp",
GAMANE,2024,13,Yes,No,False Positive (FP),138.9,2024-03-27 00:00,2024-03-27 00:00,17.7,No,,,,No,46.3,2024-03-23 06:00,,True Negative (TN),,Yes,2024-03-26 06:17,17.7,166.7,No,138.9,2024-03-27 00:00,,False Positive (FP),"wind_s=138.9, wind_e=166.7, max=166.7, hr_Start=18h, hr_End=24h, adv_time=2024-03-26T06:17:11Z, seg_time=2024-03-27 00:17, file=GAMANE_20240326_061711_track_line.shp",
GIOVANNA,2012,46,Yes,Yes,True Positive (TP),171.1,2012-02-13 21:00,2012-02-13 21:00,110.6,Yes,2012-02-09 06:23,110.6,185.2,Yes,194.5,2012-02-10 18:00,249.2,True Positive (TP),"wind_s=185.2, wind_e=185.2, max=185.2, hr_Start=108h, hr_End=120h, adv_time=2012-02-09T06:23:00Z, seg_time=2012-02-13 18:23, file=GIOVANNA_20120209_062300_track_line.shp",Yes,2012-02-11 06:23,62.6,185.2,Yes,192.3,2012-02-13 09:00,73,True Positive (TP),"wind_s=185.2, wind_e=175.9, max=185.2, hr_Start=48h, hr_End=60h, adv_time=2012-02-11T06:23:00Z, seg_time=2012-02-13 06:23, file=GIOVANNA_20120211_062300_track_line.shp",
HARUNA,2013,25,Yes,No,False Positive (FP),154.8,2013-02-21 15:00,2013-02-22 00:00,29.6,No,,,,No,55.6,2013-02-19 00:00,,True Negative (TN),,Yes,2013-02-20 18:26,29.6,166.7,Yes,167.9,2013-02-21 09:00,132.8,True Positive (TP),"wind_s=166.7, wind_e=166.7, max=166.7, hr_Start=18h, hr_End=24h, adv_time=2013-02-20T18:26:00Z, seg_time=2013-02-21 12:26, file=HARUNA_20130220_182600_track_line.shp",
HELLEN,2014,17,Yes,Yes,True Positive (TP),231.5,2014-03-30 18:00,2014-03-31 15:00,22.5,No,,,,No,,2014-03-26 15:00,,True Negative (TN),,Yes,2014-03-30 16:32,22.5,208.4,Yes,231.5,2014-03-30 18:00,,True Positive (TP),"wind_s=208.4, wind_e=203.7, max=208.4, hr_Start=6h, hr_End=12h, adv_time=2014-03-30T16:32:47Z, seg_time=2014-03-30 22:32, file=HELLEN_20140330_163247_track_line.shp",
