City,County (US only),State/Province,Country,Ob Type,ID,Lat,Lon,Date,Time (UTC),Height (m),Sustained (kt),Gust (kt)
Bartow,Polk,FL,US,ASOS,KBOW,27.95,81.79,29,15,10,41*,56*
Brooksville,Hernando,FL,US,ASOS,KBKV,28.48,82.47,28,2350,10,27,45
Bunnell,Flagler,FL,US,ASOS,KFIN,29.47,81.20,29,1015,10,30*,49*
Cape Canaveral,Brevard,FL,US,ASOS,KXMR,28.46,80.56,29,1846,10,44,63
Cocoa,Brevard,FL,US,ASOS,KCOF,28.23,80.59,29,401,10,41,57
Daytona Beach,Volusia,FL,US,ASOS,KDAB,29.18,81.05,29,1134,10,54,70
Ft. Myers,Lee,FL,US,ASOS,KRSW,26.54,81.76,28,1935,10,60*,96*
Ft. Myers,Lee,FL,US,ASOS,KFMY,26.58,81.87,28,1440,10,33*,58*
Ft. Pierce,St. Lucie,FL,US,ASOS,KFPR,27.50,80.38,29,253,10,39,57
Gainesville,Alachua,FL,US,ASOS,KGNV,29.68,82.27,29,1353,10,27,51
Jacksonville,Duval,FL,US,ASOS,KCRG,30.33,81.52,29,1033,10,29,52
Jacksonville,Duval,FL,US,ASOS,KNIP,30.24,81.68,29,2153,10,35,48
Jacksonville,Duval,FL,US,ASOS,KJAX,30.49,81.69,29,1456,10,33,46
Key West,Monroe,FL,US,ASOS,KEYW,24.56,81.76,28,318,10,48,69
Key West,Monroe,FL,US,ASOS,KNQX,24.58,81.68,28,406,10,50,59
Kissimmee,Osceola,FL,US,ASOS,KISM,28.29,81.43,29,1256,10,34,48
Lakeland,Polk,FL,US,ASOS,KLAL,27.99,82.01,28,2315,10,41*,54*
Lake Wales,Polk,FL,US,ASOS,KX07,27.89,81.62,28,2155,10,35*,48*
Leesburg,Lake,FL,US,ASOS,KLEE,28.82,81.80,29,942,10,36,49
Marathon,Monroe,FL,US,ASOS,KMTH,24.73,81.05,28,558,10,28,52
Mayport,Duval,FL,US,ASOS,KNRB,30.39,81.42,29,1740,10,40,56
Melbourne,Brevard,FL,US,ASOS,KMLB,28.10,80.64,29,1747,10,40,57
Naples,Collier,FL,US,ASOS,KAPF,26.15,81.77,28,1330,10,39*,54*
Okeechobee,Okeechobee,FL,US,ASOS,KOBE,27.26,80.84,29,135,10,39*,64*
Orlando,Orange,FL,US,ASOS,KMCO,28.42,81.31,29,1410,10,46,64
Orlando,Orange,FL,US,ASOS,KORL,28.54,81.33,29,345,10,37*,51*
Plant City,Hillsborough,FL,US,ASOS,KPCM,28.00,82.16,28,2255,10,30,46
Pompano Beach,Broward,FL,US,ASOS,KPMP,26.25,80.12,28,753,10,34,45
Punta Gorda,Charlotte,FL,US,ASOS,KPGD,26.92,81.99,28,2014,10,76*,117*
Sanford,Seminole,FL,US,ASOS,KSFB,28.77,81.23,29,1453,10,43,60
Sarasota,Manatee,FL,US,ASOS,KSRQ,27.40,82.55,28,2106,10,53,75
Sebastian,Indian River,FL,US,ASOS,KX26,27.81,80.50,29,335,10,32,47
Sebring,Highlands,FL,US,ASOS,KSEF,27.46,81.34,29,115,10,50,68
St. Augustine,St. Johns,FL,US,AWOS,KSGJ,29.95,81.34,29,1220,10,37,49
St. Petersburg,Pinellas,FL,US,ASOS,KSPG,27.77,82.63,28,1953,10,46,67
St. Petersburg,Pinellas,FL,US,ASOS,KPIE,27.91,82.69,28,1954,10,40,64
Tampa,Hillsborough,FL,US,ASOS,KTPA,27.97,82.53,28,1950,10,32*,65*
Tampa,Hillsborough,FL,US,ASOS,KMCF,27.86,82.52,29,155,10,36,53
Titusville,Brevard,FL,US,ASOS,KTTS,28.61,80.69,29,1840,10,44,57
Venice,Sarasota,FL,US,ASOS,KVNC,27.07,82.44,28,1915,10,56*,71*
Vero Beach,Indian River,FL,US,ASOS,KVRB,27.65,80.41,29,453,10,43,57
Zephyrhills,Pasco,FL,US,ASOS,KZPH,28.23,82.16,29,255,10,31,45
Alligator Reef Light,Monroe,FL,US,WeatherFlow,XALG,24.85,80.62,28,524,7.5,39,55
Biscayne Bay Light,Miami-Dade,FL,US,WeatherFlow,XKBS,25.66,80.19,28,649,6,44,52
Buck Island,Duval,FL,US,WeatherFlow,XJAK,30.40,81.47,29,1639,10,51,60
Carysfort Reef,Miami-Dade,FL,US,WeatherFlow,XCFL,25.23,80.21,28,603,14.5,41,55
Cocoa Beach,Brevard,FL,US,WeatherFlow,XCOA,28.31,80.63,29,350,10,39,58
Cocoa Beach Pier,Brevard,FL,US,WeatherFlow,XCCO,28.37,80.59,29,541,12,41,61
Clam Bayou,Pinellas,FL,US,WeatherFlow,XCBN,27.74,82.69,28,2003,10,29,51
Crescent Beach,St. Johns,FL,US,WeatherFlow,XHSE,29.72,81.23,29,2222,5,42,56
Dania Pier,Broward,FL,US,WeatherFlow,XDAN,26.06,80.11,28,1126,9,41,50
Desoto,Lee,FL,US,WeatherFlow,XDSO,26.67,81.77,28,2013,15,45,68
Dodge Island,Miami-Dade,FL,US,WeatherFlow,XBBH,25.77,80.15,28,548,13,36,45
Dunedin,Pinellas,FL,US,WeatherFlow,XDUN,28.06,82.81,28,2005,6,34,49
Government Cut,Miami-Dade,FL,US,WeatherFlow,XGVT,25.75,80.10,28,656,23,48,57
Grant Indian River,Brevard,FL,US,WeatherFlow,XIND,27.96,80.53,29,354,5,45,59
Griffin,Polk,FL,US,WeatherFlow,XGRF,28.08,82.04,29,340,15,30,63
Grove City,Charlotte,FL,US,WeatherFlow,XGRV,26.90,82.32,28,2111,20,82,113
Hillsboro Inlet,Broward,FL,US,WeatherFlow,XHBI,26.26,80.08,28,1040,5,37*,50*
Huguenot Park,Duval,FL,US,WeatherFlow,XHUP,30.42,81.41,29,1528,12,53,62
Jensen Beach,Martin,FL,US,WeatherFlow,XJEN,27.22,80.20,29,319,5,36,53
Juno Beach,Palm Beach,FL,US,WeatherFlow,XJUP,26.89,80.06,29,305,6,44,56
Key West,Monroe,FL,US,WeatherFlow,XSMS,24.57,81.80,28,429,10,42,64
Marathon,Monroe,FL,US,WeatherFlow,XKEY,24.74,80.98,28,151,13,37,50
Melbourne Beach,Brevard,FL,US,WeatherFlow,XMBI,27.90,80.47,29,319,10,47,70
Melbourne Dairy,Brevard,FL,US,WeatherFlow,XDAI,28.04,80.64,29,417,15,38,51
Merritt Island,Brevard,FL,US,WeatherFlow,XCCB,28.36,80.66,29,1829,5,43,53
Naples,Collier,FL,US,WeatherFlow,XNPZ,26.17,81.79,28,1952,10,35*,54*
